 	Alpharetta, GA	Arlington Heights, IL	Baton Rouge, LA	Billings, MT	Bowling Green, KY	Buena Park, CA	Carson, CA	Charleston, SC	City of Sammamish, WA	Compton, CA	Cypress, CA	Delray Beach, FL	East Brunswick, NJ	Edmond, OK	Euless, TX	Florin, CA	Fresno, CA	Goodyear, AZ	Hamilton, OH	Highland, CA	Iowa City, IA	Joplin, MO	Kissimmee, FL	Lakewood, NJ	Lenexa, KS	Loveland, CO	Marietta, GA	Metairie Terrace, LA	Mission Viejo, CA	Nampa, ID	Noblesville, IN	Oak Lawn, IL	Ozone Park, NY	Paterson, NJ	Pittsburg, CA	Portland, ME	Redmond, WA	Rock Hill, SC	Saint George, UT	San Marcos, TX	Schaumburg, IL	South Gate, CA	Springfield, OR	Tacoma, WA	Tigard, OR	Tyler, TX	Waldorf, MD	West Coon Rapids, MN	Wheaton, MD
Lakewood, NJ	898.18	1024.15	1750.89	2311.46	893.27	3024.55	3047.81	748.99	3497.99	3040.81	3040.26	1196.42	44.47	1886.85	1611.43	3416.41	3263.3	2677.8	679.29	2977.02	1188.19	1343.19	1058.68		1477.54	1983.93	919.92	1823.38	3043.98	3038.13	927.05	982.19	109.25	87.32	3398.93	430.56	3505.54	675.58	3014.25	1816.61	1020.6	3039.18	3554.57	3521.34	3454.42	1579.82	207.85	1477.95	188.17
Lenexa, KS	1085.12	536.74	881.35	1053.06	752.2	1928.97	1952.23	1450.9	2239.59	1945.23	1944.67	1712.4	1389.65	322.12	548.26	2320.83	2167.71	1582.21	655.28	1881.43	311.85	145.07	1538.52	1422.48		640.94	1072.56	953.84	1948.39	1779.72	589.52	516.64	1423.55	1385.58	2303.34	1719.8	2247.13	1286.05	1257.87	753.43	533.19	1943.59	2296.16	2262.94	2196.01	506.22	1386.56	480.15	1169.44
Loveland, CO	2318.21	1143.38	1943.92	510.52	2197.23	1086.65	1109.91	2582.44	1241.84	1102.91	1102.35	2761.17	1996.29	933.31	1383.06	1173.28	1215.51	964.41	1261.92	1046.04	807.59	748.95	2597.07	3032.02	640.41		2301.88	2016.4	1106.07	781.97	1196.16	1123.28	2030.18	1992.22	1229.46	2326.44	1249.38	2529.96	700.03	1343.75	1139.83	1101.27	1298.41	1265.19	1198.26	1507.68	2831.36	1327.54	2813.65
Marietta, GA	18.86	804.77	561.08	2775.01	325.16	2302.56	2325.82	306.82	3559.93	2318.82	2318.26	641.35	912.38	1164.85	889.43	2694.42	2541.3	1955.8	619.53	2255.02	968.81	849.75	467.48	911.49	1077.01	2273.33		577.83	2321.98	3100.06	600.25	762.81	981.06	959.13	2676.93	1302.37	3567.47	242.56	2292.25	1094.61	801.22	2317.18	3616.5	3583.28	3516.35	712.19	702.56	1258.57	725.56
Metairie Terrace, LA	562.89	1211.31	77.13	2499.59	1006.32	2027.14	2050.4	798.35	3284.51	2043.4	2042.84	825.88	1832.53	889.44	614.02	2419.0	2265.88	1680.39	1227.16	1979.6	1199.26	738.92	661.78	1841.11	909.89	1997.91	546.56		2046.56	2824.64	1207.88	1185.88	1908.25	1867.16	2401.51	2229.46	3292.05	774.65	2016.83	819.19	1207.76	2041.76	3341.08	3307.86	3240.93	429.99	1640.46	1557.93	1622.75
Mission Viejo, CA	2376.03	2460.03	2001.73	1358.35	2255.05	27.94	53.17	2640.25	1329.71	46.17	32.48	2818.98	3081.25	1635.21	1440.88	436.65	283.53	375.69	2475.88	89.75	2447.98	1839.44	2654.89	3089.84	1957.4	1114.97	2359.69	2074.22		934.9	2456.6	2434.6	3156.97	3115.88	419.16	3478.18	1337.25	2587.78	416.37	1401.57	2456.48	44.53	915.19	1166.58	1016.79	1565.5	2889.18	2187.29	2871.47
Nampa, ID	2852.01	1967.16	3172.1	728.38	2519.09	905.9	929.16	3217.79	467.72	922.16	921.6	3989.35	2906.52	2161.49	2611.25	544.34	704.22	918.33	2300.52	865.29	1866.37	1923.81	3825.26	2939.34	1780.59	1236.64	3530.06	3244.59	925.32		2186.48	2003.18	2940.41	2902.44	600.51	3236.67	475.26	3052.94	718.34	2571.94	1973.36	920.52	524.29	491.07	424.14	2735.87	2806.27	1557.31	2766.41
Noblesville, IN	631.38	222.99	1156.09	1510.3	298.47	2429.75	2453.01	834.74	2696.83	2446.02	2445.46	1258.66	840.19	1292.05	1016.63	2821.62	2668.5	2083.0	128.85	2382.22	387.03	748.39	1084.79	873.02	591.21	1182.77	618.83	1228.58	2449.18	2236.96		181.03	874.08	836.12	2804.13	1170.34	2704.37	669.89	2419.45	1221.81	219.44	2444.38	2753.4	2720.18	2653.25	985.02	659.85	676.79	619.98
Oak Lawn, IL	784.76	39.62	1256.11	1348.99	451.85	2529.77	2553.03	988.11	2535.52	2546.03	2545.48	1412.04	897.21	1392.07	1116.65	2921.63	2768.51	2183.02	291.21	2482.24	225.72	577.46	1238.16	930.04	514.82	1021.45	772.2	1328.6	2549.2	2075.65	177.18		931.11	893.14	2904.15	1227.36	2543.06	823.26	2519.47	1321.83	36.07	2544.39	2592.09	2558.87	2491.94	1085.03	796.97	515.48	757.1
Ozone Park, NY	967.13	972.77	1836.74	2260.08	979.12	3110.4	3133.66	817.94	3446.61	3126.66	3126.11	1265.37	73.1	1972.7	1697.28	3502.27	3349.15	2763.65	818.41	3062.87	1136.81	1429.04	1127.63	97.86	1426.16	1932.54	988.87	1909.23	3129.83	2986.74	875.66	930.8		43.04	3484.78	375.56	3454.15	744.53	3100.1	1902.46	969.22	3125.03	3503.18	3469.96	3403.03	1665.67	276.8	1426.57	257.11
